RECORD	DAT	LRO	CTY	PLA	OSN	PAR	CAT	TYP	EAD	EAT	CMR	VAL	SUM	OSA	COV	AWC	TMD	SCL	SUR	SNM	CLS	CMD	MSS	BAF	MAT	DIM	STT	QUL	TRI	OFF	CHN	COL	RLY	RDS	TPK	ILU	SLU	RLU	QUA	SAN	UTL	MIL	CHH	PUB	PBG	SCH	PRG	RIV	CAN	LAK	HSE	FMY	WDS	PLS	COP	PKS	ARB	GRA	ORC	HPS	GNS	ORN	REC	HTS	CMN	RCK	HAC	SHD	FLD	STP	GLB	HDG	FNC	GAT	ABB	EBB	FBB	OBB	EST	ALL	NMS	NMR	FDN	FAO	FAN	CAR	BOR	NOP	SYM	COM	EXC
PRO 16046	16.12.1994	Warwickshire Record Office CR 1563/190	WAR	Leamington Priors	Royal Leamington Spa		P	S		SP322657	184 SW		525	1594.63	E	`Index to the Sheet Plan...' [illustrated by JBH].  `Reference':  Brick and Stone Buildings [carmine], Wooden Buildings and Sheds [grey], Macadamized Roads, Gravel paths &c [light pale yellow], Stone and Brick paving and flagging [light lilac-grey], Garden Ground [green], Wash House WH, Stables ST, Coach House CH, Cow House CoH, Water Closet on Ground Floor WC, Ditto overhead WC (underlined), Ditto beneath WC (overlined), Kitchin Sink KS, Cistern Cn, Privies o, Dust Bin DB, Area A, Rain Spout RS, Sewer Grates [boxes], Lamp Posts [black squares], Fire Plugs [black circle in square], Water Posts WP, Water Supply WS.  In red:  `NOTE  The levels are marked in red figures, and are calculated from a Datum Line level with the River Avon at Elmscote; being 20.78 below mark cut in Step at North Entrance of the Parish Church of All Saints.  The decimal mark between the figures of the surface levels show the point at which the height has been taken.'  Sheets:  1,2,-,-;3,4,5,-;6-9;10-13;14-17;-,18,19,20;-,21,22,-;-,23,-,-.   Paper is JW 1852; there is a second copy of Sheet 23, JW 1853, with additional buildings at the arboretum.  Headings:  Leamington Priors, top l; Sheet __, top r; bottom centre is scale bar.  No other marginalia.  [JBH in Field & Forest says houses are unnumbered: in fact house-numbering is intermittent, and presumably was not widespread.]  36.0 x 24.0 inside neat lines.  [It may be noted that much of the town is formed of a regular grid of streets, which must have eased field survey.] ----  The foregoing is based on the MS original; Warwick RO also has CR 1538/185, which is a litho version, by Vincent Brooks, King St, Covent Garden, faithfuly copying the style of the original, but with only water and buildings (all carmine) coloured; print quality is not very good, with a few `dead' bits; this copy in cover has `Plan and valuation of the Parish of Leamington Priors. R.S.Hoggar Assoc.Insti.C.E.' on cover, though only maps are present; Sheet 23 is in `original' state.  -- Warwick RO also has CR 1538/186, (in modern (?1950s) folder listing distribution of other copies), another litho copy, with title sheet and 6-inch index, with streets and buildings [very soiled], as well as a litho version of the MS title sheet (sheet lines and numbers only), uncoloured except for gas mains, in red, also `Dead Main', pecked, and diameters in inches, together with what are presumably depths in inches below street, and larger diameter mains in blue (Sheets 7 and 15 only, evidently later, with 16:2:86 LGB reciept stamp; Sheet 11 has a pencil note of 1914 that all pipes on this sheet have now been altered to larger ones), and with Sheet 23 in later state, corresponding to the second MS copy.	01.01.1852	0.408333333	J. Lyon Alexander, 7 Castle St & 11 Southampton Buildings, Chancery Lane, London.	CF	1	25.02.1853	M	B	P	99 X 68 (x 24; or x 25)	L	VG				SLPX - `index' in title is two-tone lilac-blue and ore-colour, `layered'; churches carmine with cross-hatched grey, but chapels aren't; railways light brown ground, darker brown infill between rails, and sepia hachures on green-grey ground for earthworks.	YENRS - goods shed, turntables (undescribed), dotted lines for viaduct piers, apparent subway at gwr station spoil bank (sheet 19) to e of gwr s of canal; lnwr is single line only on double-track bed; on gwr mixed gauge shown, on running lines only: these bend round the back of the passenger station, and the through and platform lines and all sidings and crossovers are mixed gauge only.				Y			X - open drain; water closets are shown in true position in houses; sanitary features are all in sans serif, including the urinal and midden.		X - flour.		HPTN - + spirit vaults.		C - one only.		N	YNW - several wharfs; weighing machines; crane.	Y	Y		YU - green and golden-brown trees, quite decorative (but not that many of them!); trees in avenue (sheet 19) are wholly dark sepia wash.			YNU - these are public parks.					FPT																T - open fields only!				Y	Y					Y	23 + 1 (+ 1)		Brewery Yard, College, bench marks to .01 ft, street levels, water levels and basement heights to .1 ft, some house numbers, steps to buildings, X for archways, walls [infilled carmine], heavy carmine-crimson S and E building shading, Boundary Stones, GH (glass houses: grey), Brick Field (Kilns; Brickmaker's Arms), Mews, Churches and chapels (one church named in gothic, with extra cross-hatching; chapels rough it in ordinary Roman and public building carmine), Fountains, Weighing Machines, P [evidently pump; NOT in ref!], Reservoir, road cuttings (sepia brown, as railway earthworks), Assembly Rooms, Tennis Court, Racket Court, Wesleyan Chapel, Wesleyan School, Parochial Schools, Infant School, Nursery Gardens, Carriage Maufactories, Jephson Gardens (Dr Jephsons Statue; walk passing through bridge under drive, Sun Dial, Orchestra [octagonal, grey], Maze [fully mapped, with multi-colour hedges]), Flour Mill, next to Swimming Bath, Pump Room (with loggia lighter carmine and logia piers deep carmine), Archery Ground, Post Office, Music Hall, Midden, Urinal, PY [not many!], Old Well, Market Place, Bowling Green, Bank, Cricket Ground, Hospital, Grave Yards, Victoria Baths, Datum Point 20.78 [in red], Gas Works (Gasometer, x 3: blue casing, lilac-grey shaded infill), Temperance Hall, The Arboretum and Pinetum.	
PRO 16222	31.01.1995	Ntb RO (MP) QRA/8	NTB	Ovingham, Bywell St Peter and Bywell St Andrew	- [Fairley May]		Ps	E		NZ041567	20 SW		525	37592.04	X	Firelemay and Apperley Commons.  SUR from award: 16223 is the other part of this, but drawing is different.  This does look to be Fryer's work, unlike 16223.  [Ovingham 14837.462; B. St p. 18698.639; B.St.A. 37592.046.]	02.02.1817	4	John Fryer				M	A	C	52 X 75	CE	G				BX - township names in red on roads, perhaps for maintenance.			N													N																															L	Y		Y			Y		Y	1			
PRO 16499	20.03.1995	WRRO WRRD Plan Vol 3/22	YOW	Stutton	Stutton		-	E	NRRO microfilm copy: map MIC 604, award MIC 602.	SE479412	70 E		525	2974.35	E	Enclosure by agreement: not in Tate & Turner.  Award is at WRRD B20, p.44.  [OSA is for Stutton with Hazlewood township.]	03.03.1798	6*			A		M	A	C	43 X 59	RE	G				RWEKN - grey water.				R												N																													C		L	Y		F			Y		Y	1			
PRO 16500	20.03.1995	WRRD Plan Vol 4/11	YOW	Wigton Common	Wigton Moor	Harewood.	-	E	There is another copy at Leeds RO, Harewood Archive.	SE328406	70 W		525	1294.35	X	Enclosure by agreement: not in Tate & Turner.  Award at WRRD B19, p.302.  Teal was commissioner and signs map thus: similar to other maps which he made.  [OSA is for Wigton township.]	01.01.1797	7.75	? Jonatn. Teal		A		M	A	C	77 X 63	RE	G						Y		R			Q																																			RS			CC		L	Y	Y	Y			Y		Y	1		Pinfold, Holy Well, numerous Bounder Stones (pictorial).	
PRO 16921	22.06.1995	Derbs RO D2316Z/P1	DRB	Walton	Walton		-	E		SK349684	112 N		525	2423.61	E	Photocopy of original at Sheffield, Fairbank Ches. 26 S.  Covers a much larger area than was enclosed, but the only additional information for the old enclosures is pencilling.  Map looks like a draft.  Enlargement of small lots.	03.03.1803	6.67	[Fairbank]				M	A	P	49 X 39	X	G-				X - a few old-enclosed areas coloured, for no clear reason.																					Y																								T			Y								2			
PRO 17108	21.07.1995	ERRO RDB (A13)	YOE	Thearne and Skidby	Thearne	St John in Beverley, Skidby	-	E		TA069363	72 SE		525	2076.03	X	Award at BG/95/5.  Thearne Common with Skidby Carr and Ings. [OSA (Ts): Thearne, 516.162; Skidby, 1560.875.]	01.01.1788	8	Joseph Dickinson				M	A	C	41 X 65	RE	G-				RWD			N																														N										X - colour bands for the various ings.		I			Y		P			Y			2		Rather faded and worn.	
PRO 17581	27.09.1995	LAO Lindsey Award 22	LIN	East Firsby	Firsby		P	E		TF461637	116 W		525	1106.67	E	Includes 4 chain part of exchanges in Great Steeping.  A good deal less than the whole parish.	01.01.1819	6	Willm Harrison, Surveyor, Scamblesby				M	A	C	51 X 83	CE	G				RWGKP - exchanges pink and yellow, and numbered in red.		N		PR							PT - on grey-shaded base: cross on tower.					ADN		Y			Y																					S			T		Y	Y		Y			Y	Shaded shallow oval with hyacinth hanging to left.	Y	2			
PRO 17639	29.09.1995	LAO Lindsey Award 128	LIN	Great Steeping	Great Steeping		P	E		TF442650	116 NW		525	1745.82	E	Parish of Great Steeping with hamlet of Monksthorpe in text of award.	01.01.1839	6	Henry Kennedy, Surveyor, 100 Chancery Lane, London				M	A	C	85 X 61	CE	G				SGN												PN				DN			Y																										T		Y	Y		Y			Y		Y	1		Lines of Old Roads (fine single pecked lines).	
PRO 11911	31.03.1993	DEVON RO Q/RR1 55	DEV	Lynton: In Down, Valley of Rocks, and Outer Down	Lynton		-	E	PRO enrolled copy is at 13734.	SS706483	277 SE	Arthur Whitehead, Weston super Mare, Somerset, Land Surveyor	526	7202.49	X		02.02.1860	3	? Arthur Whitehead, Weston super Mare, Somerset		1	06.12.1860	M	A	P	129 X 76, 103 X 68	CC	G				RWAX - one subdivided allotment tinted pink.		Y														F																	N		C										AB					Y					Inverted octagon corners.	2		Map is similar to 11910.	X
PRO 12224	21.06.1993	DOR RO IA 65	DOR	Beaminster	Beaminster		P	E		ST490020	327 NW		526	5190.31	X	SUR is from award; the survey was made for the elder Thomas Davis, who then died.	02.02.1809	4	Thomas Davis the younger				M	A	C	71 X 81, 71 x 58	CE	G				RA				R			C - nice stipple.					N																												B					BH			Y					Y			4	X	Notable tree, presumably notable stile.  Allotment numbers are circled.	
PRO 12948	23.08.1993	PRO MAF 1/282	BRE	Cathedine	Catherdine		P	E		SO159250	214 SW	Isaac Davies, Brecon, Brecon, Land Surveyor	526	1654.23	X		02.02.1860	3	? Isaac Davies, Brecon		1	30.05.1861	M	A	P	131 X 190	PE	G	Y			CA							Q														Y														F							R - fragmentary.			A		L									2		Boundary Stones, Cairn and Thorn, Spring, Ruins.  Scale is ruler-like.  SUR is attributed on VAL signing map.	
PRO 13478	08.11.1993	PRO MAF 1/330	OXF	Ramsden	Ramsden		T	E	Oxfordshire RO has the county enrolled copy, at QSD/A, Vol 46.	SP347151	236 NW	William Bryan Wood, Chippenham, Wiltshire, Land Surveyor	526	920.45	X		01.01.1859	3	William Bryan Wood, Chippenham		1	03.04.1862	M	C	P	113 X 108	PE	G				SAE		Y												S				N	Y												Y		N									NRS			T					P	LO				Y	1		Boundary Stones and `X' marks in open fields.  Map was amended in 1873 when a few allotments were subdivided: see marginal note.  School (in gothic).	
PRO 13734	25.11.1993	PRO MAF 1/563	DEV	Lynton	Lynton		P	E	County copy is at 11911.	SS706483	277 SE	Arthur Whitehead, Weston super Mare, Somerset, Land Surveyor	526	7202.49	X	In-Down, Valley of Rocks and Outer Down.	12.12.1857	3	Arthur Whitehead, Weston super Mare		1	06.12.1860	M	A	P	100 X 68, 73 X 132	PE	G-	Y			RWCAPUX - sea name infilled blue, grey in title; red road letters; allotment in lieu of turbary is pink.																																	N	CY - boulders on shore.											A					Y					Y	2		VAL signs and dates map.	
PRO 15988	06.12.1994	Wilts RO EA 92	WLT	Nettleton	Nettleton, Burton		P	E		ST827787	265 N		526	1970.59	X	SUR from oath.  Roads connecting enclosures also mapped.	02.02.1814	4	John Hayward				M	A	C	125 X 97	CE	G				RKNP - only new roads coloured; north pointer shaded blue.		Y																																											H			Y		F	L		Y		Y	1			
PRO 16445	28.02.1995	NRRD CP no. 33, pp 40-45 [MIC 1578]	YON	Nether Silton or Silton Pannoll	Nether Silton		M	E		SE468939	42 SE		526.987	1538.10	X	Enclosure by agreement: not in Tate & Turner.  SUR from award; was also one of the commissioners.  Appears to be NRRD redrawing: hachures are in pencil!  526:3:38.  [CAT = T on OS 6" 1st edn.]	02.02.1796	5	John Rodham, Richmond, Yorkshire		A		M	A	C	72 X 52	RE	OK+				RL																																			P - grey pencil					Y		P			I			Y		Y			Y		Y	1		Well (named), and a few other features near boundary.	
PRO 16136	24.01.1995	Staffs RO Q/RDc 41	STF	Ipstones	Ipstones		M and P	E		SK042506	124 NW		528	5697.15	X	SUR not named in award.	02.02.1780	6*					M	A	C	86 X 72, 78 X 64	CE	G																																																			L	Y					R			3			
PRO 12900	19.08.1993	PRO MAF 1/233	ESX	Barking Common	Hainault	Barking and Dagenham	-	E	Essex RO copy is at Q/RDc 65.	TQ460919	257 NW	William Bryan Wood, Chippenham, Wiltshire, Land Surveyor	529	18863.49	X	Award is at PRO MAF 1/962.  [OSA: Barking 12307.007; Dagenham 6556.486.]	01.01.1863	3	William Bryan Wood, Chippenham		1	18.01.1866	M	A	P	185 X 137	PE	G				SADE																		Y			Y																						P		T				F						Y	7		There is a 9* chain `index', not very effective.  North pointer has thinly geometrical centre.  This overlaps with an out-of-area part of 12878.	
PRO 15669	25.10.1994	Cumb RO QRE/1/6	CMB	Morresby	Moresby Moss		P	E	Cumberland RO also has the parish copy, SPC/33/4.	NY002202	28 E		529	2140.53	X	SUR not given in award.  Lands allotted to Sir James Lowther not mapped: COV is really XX.  [OSA is for T of Moresby.]	01.01.1763	5*					M	A	C	87 X 57	CE	G				BLOP - buildings, moss and north pointer grey.							Q																																					NT - grey, mosses.	Z - by letters.		L	Y					Y		Y	1		Legend explains letters for fencing.	
PRO 11923	01.04.1993	DEVON RO Q/RR1 24	DEV	Clayhidon	Clayhidon		-	E		ST165160	311 NW		530	4740.57	X	Award in book form with folded map; usual Devon style is rolled.	02.02.1821	5					M	A	C	86 X 21, 40 X 26	CE	G				RAOP - border infill.		Y					B				P					N					Y						Y													B		P					L		Y					Y	Cased sienna.	2	Sarcophagus forms cartouche; oak-leafy compass boss	`Corners' named.  Colourful map.	
PRO 11968	30.04.1993	Cornwall RO QS/PDA 10	CNW	Tresparrett Down	Tresparrett	St Juliot	-	E	PRO copy is at 13520.	SX143923	322 SE	Henry Badcock, St Stephens by Launceston, Cornwall, Land Surveyor	530	2712.18	E	Award gives tithe map numbers of lands in respect of which allotments are made.	01.01.1857	3	? Henry Badcock, St Stephens by Launceston, Cornwall		1	04.11.1858	M	A	P	107 X 112	CE	G				RWA																																													AB				P	P					Y	1		Style is not completely Badcockian, and the map may be a copy, (see CMD, where seal and signatures are copies).	X
PRO 11995	24.05.1993	SOM RO Q/RDe 5	SOM	Ashcott	Ashcott		-	E	There is another copy in Somerset Record Office, at D/RA 9/2-MAP.	ST435375	296 NW		530	2381.81	X		02.02.1798	6	Jno. Verry				M	A	C	43 X 60, 45 X 65	CE	G				AF		N																																						B					A		L			Y			Y		Y	2		One part is at 3 chains.	
PRO 12139	07.06.1993	SOM RO Q/RDe 79	SOM	Baltonsborough and Bradley	Baltonsborough and West Bradley		Ps	E		ST551395	296 NE		530	4129.55	X	Ye award and mapp hath a manuscript copy of ye Acte off Parliament attatched, a moft wondrouf fing, ye lik of wch waff never yett before Seen in yis project, (and butte lyttel fince).  Ye award be commendably brief, for once.  Rather rustic-looking.  [OS acreages: Baltonsborough, 2719.721;  West Bradley, 1409.836.]	02.02.1720	4*	William Higgins				M	A	C	84 X 53	CE	F	Y																																																			Y								1		SUR is derived from the award.  The map looks a bit diagrammatic, and roads run straight which OS runs crooked, but there are red lines running across the map which are evidently TRI.  No acreages are given, but allotments of land are by `comons'.  Streams and rivers are apparently not mapped.	
PRO 13520	10.11.1993	PRO MAF 1/369	CNW	St Juliot	Tresparrett		P	E	County copy is at 11968.	SX143923	322 SE	Henry Badcock, St Stephens by Launceston, Cornwall, Land Surveyor	530	2712.18	E	Tresparrett Down.	01.01.1857	3			1	04.11.1858	M	A	P	107 X 111	PE	G	Y			RWCEOP - some grey infill of larger names.		Y																																											A				Y	F					Y	1		Includes lands in respect of which the allotments are made.  (No typing.)	
PRO 13718	19.11.1993	PRO MAF 1/548	HRE	Kington	Kington		P	E	Herefordshire Record Office has the county enrolled copy, Q/RI/24.	SO295546	197 NE	Josiah Castree, College Green, Gloucester, Land Surveyor	530	8027.56	X	Kingswood, Kingswood Common, Moseley Meer and Brickkiln Common in townships of Chickward, Pembers Oak and Lilwall.	02.02.1854	3	? Josiah Castree		1	05.06.1856	M	A	P	90 X 115	PE	G				SA - new roads pink.		Y																Y	Y														N									P					L		Y						Y	1		Named banks.  VAL signs map.	
PRO 15774	02.11.1994	Cumb RO D/MBS/1/4	CMB	Nicholforest	- [Arthur Seat]	Bewcastle	M	E		NY500780	12 W		530	8496.65	X	Enclosure by agreement: not in Tate & Turner.  Does not seem to adjoin 15711.  SUR not apparent: style suggests John Norman, but sole commissioner was John Bowman of Botcherby, and accompanying papers suggest Bowman did some plans.  One sale lot has the price given.  OSA is for Nicholforest township.	02.02.1835	4			A		M	A	C	78 X 50	O	G				RWPUX - north pointer dark blue, crimson and gamboge; moss lots grey; quarries various colours.							Q - freestone, limestone.																																					U - moss lots, grey.			L	Y					Y			1			
PRO 16274	07.02.1995	Durham RO D/St/P2/1/11	DRH	Staindrop	Staindrop		T	E		NZ097211	32 W		530	2004.14	X	Staindrop Moor or Common: enrolled award at Q/D/E 28-31 (including arbitration).  530:0:0, though constituent acreages given to perches!!	31.12.1763	3					M	A	P	224 X 56	UU	G				O		Y					Q - + rock ornament + name.											YN	P															Y - in quarry.								NS					L	Y	Y				Y	Fairly straight `branch' sides with leaves sprouting from flowerpots or canisters twinning their way round them.	Y	1		`Well or Spring.'	
PRO 17475	21.09.1995	LAO Holland Award 25A, also Holland Award 35	LIN	Moulton and Fosdyke	Moulton Marsh	Moulton	-	E		TF334324	144 NE		530	13886.34	X	Two identical litho-with-hand-colour copies: 25A is with the award, 35 is a certified copy with a copy of the `Moulton &c Salt Marshes Act 1873'.  1 inch to 3.75 mile location map in frame with inverted-square corners and settlements (not Fosdyke) by St John's Crosses.   Lithographer not stated.  Red lettering for drain and tenure annotations, etc, is added by hand.  Holland Award 35 certification indicates that Tatam acted as surveyor, and award that he took over after Edward Millington became incapable.  [OSA: Moulton, 11839.975; Fosdyke, 2046.365.]	02.02.1879	6	Edward James Tatam, Holbeach, Lincolnshire				L	A	C	77 X 58	CE	VG				BRWX - grey buildings; drains variously deep red and deep blue; area coloured red on location map; non-freehold lot information in red.				DX - tunnel width.					T																																				T					Y					Y	1		Double Creek Breach 30th Jany. 1877; Breach of Bank 3rd Feby. 1877, Site of Former Sluice, Moulton Sluice, Syphon, Tunnel with width, Pull Over.  Breaches are shaded; New Sea Bank sienna, like roads.	
PRO 15434	07.09.1994	Lancs RO PR 1563/55	LNC	Lower Darwen Moor	Lower Darwen	Blackburn	-	E		SD707260	76 NW		530.244	2666.54	X	SUR from award; Robert Lang was one of the commissioners.  530:0:39, but scale is 5 inches to 80 poles of 4.5 yards.  [The county enrolled copy, AE 2/4, is incomplete.  Style is the same, but it adds, evidently as an afterthought, `Guide Post', and in one place has Sprg rather than Spring.]  CAT = T on OS 6-inch 1st edition.	01.01.1779	3.28					M	A	C	88 X 75	CE	G				E		Y					Q+S							V																												S			E		L	R	Y		L		R	Plain rectangle.	Y	2		Springs, Spew Spout.  Buildings mostly pictorial; a few hatched.  Gothic used for variety.	
